Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
1,5.2,3.6,1.5,0.3
2,4.9,3.1,1.4,0.2
3,4.8,3.2,1.4,0.2
4,4.6,3.8,1.5,0.2
5,5,3.6,1.4,0.4
6,5.4,3.9,1.8,0.4
7,4.7,3.4,1.4,0.3
8,5,3.4,1.6,0.2
9,4.4,2.7,1.6,0.2
10,7.2,3.2,4.7,1.4
11,6.4,3.2,4.7,1.5
12,6.9,3.2,4.9,1.5
13,5.5,2.3,4,1.5
14,6.5,2.9,4.6,1.5
15,5.7,2.8,4.6,1.3
16,6.4,3.3,4.7,1.6
17,4.9,2.6,3.3,1
18,6.6,2.9,4.6,1.4
19,5.2,2.7,3.9,1.5
20,6.3,3.4,6,2.5
21,5.8,2.8,5.1,1.9
22,7.1,3,5.9,2.1
23,6.4,2.9,5.6,1.8
24,6.5,3,5.8,2.3
25,7.6,3,6.6,2.2
26,4.9,2.6,4.5,1.7
27,7.3,3,6.3,1.8
28,6.7,2.7,5.8,1.8
29,7.2,3.6,6.3,2.5
30,7.1,3,5.9,2.7
